SPLEase,alertvolume,app,category,dashboard,datasource,description,displayapp,domain,examples{}.label,examples{}.name,gdpr,gdprtext,hasSearch,help,highlight,host,howToImplement,ids_type,images{}.label,images{}.name,images{}.path,journey,killchain,knownFP,mitre,name,name_label,operationalize,released,relevance,similarUseCases{},story,usecase
,Other,Splunk_User_Behavior_Analytics,Data Exfiltration|Insider Threat,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/UBA_Use_Case,Network Communication,Excessive Data Transmission,Splunk User Behavior Analytics,Other,,,,,No,Help not needed -- UBA Use Case,Yes,ubuntu8971,,,,,,Stage_6,None,,None,Excessive Data Transmission,excessive_data_transmission,,,,,,Insider Threat|Insider Threat
None,Medium,Enterprise_Security_Content_Update,Operations|GDPR,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ESCU_Use_Case,Audit Trail,This detection search will help profile user accounts in your environment by identifying newly created accounts that have been added to your network in the past week.,Enterprise Security Content Update,Access,,,,"<p>While not explicitly required for GDPR, this capability is often seen as a part of maintaining State of the Art Security and supports GDPR requirements.</p>",No,"Adversaries will often seek to create new user accounts as a means of maintaining access to a target environment. Using this search, we identify accounts created in the last week by comparing the start date in the Identity_Management data model against the current time.",No,ubuntu8971,,,,,,Stage_4,,,,Identify New User Accounts,detection_new_user_accounts,,,,,Account Monitoring and Controls,Security Monitoring|Compliance
Advanced,Other,Splunk_App_for_Enterprise_Security,Endpoint Compromise|Unauthorized Software|Privilege Escalation,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ES_Use_Case,Endpoint Detection and Response,Alerts when an anomalous number hosts are detected with a new service.,Splunk App for Enterprise Security,Endpoint,,,,,No,Help not needed -- ES Use Case,No,ubuntu8971,,,,,,Stage_3,,,,Anomalous New Service,anomalous_new_service,,,,,,Advanced Threat Detection
Basic,Medium,Splunk_Security_Essentials,Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_simple_search?ml_toolkit.dataset=Command%20line%20length%20statistical%20analysis%20-%20Demo,Endpoint Detection and Response|Windows Security,<p>Ransomware and other malware variants often execute long commands using command line arguments. This search performs statistical analysis of these CLI arguments to detect potentially malicious executions.</p><p><b>Alert Volume:</b> Medium</p>,Splunk Security Essentials,Endpoint,"Demo Data
Live Data","Command line length statistical analysis - Demo
Command line length statistical analysis - Live",,,Yes,Ransomware and other malware variants often execute long commands using command line arguments. This search performs statistical analysis of these CLI arguments to detect potentially malicious executions.,No,ubuntu8971,"In order to run this search you need to index Sysmon data from your Windows endpoints. However, you can modify the search o use data from other sources that capture command lines, such as endpoint products like Carbon Black, or Windows process creation events. Process creation events are not enabled by default, but can be enabled via GPO.",,,,,Stage_3,Installation,None at the moment,Execution|Defense Evasion,Malicious Command Line Executions,sser_malicious_command_line_executions,"When this search fires, you want to validate that the process and the command line are legitimate. You should begin a standard incident response process by validating the process is legitimate and the command-line options for the process are also legitimate.  You should investigate what actions were taking by this process and verify any action taken by the process.",1.0.0,,,,Advanced Threat Detection
Basic,Low,Splunk_Security_Essentials,GDPR|Operations,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_simple_search?ml_toolkit.dataset=New%20Connection%20GDPR%20-%20Demo,Network Communication,"Alert Data Protection Officers to new systems that become involved in processing GDPR-scoped data via network communication logs, so DPOs can ensure the systems are authorized and documented.",Splunk Security Essentials,Access,"Demo Data
Live Data","New Connection GDPR - Demo
New Connection - Live",,"<h4>Problem:</h4><p>Data Protection Officers need to be alerted when new systems become involved in processing personal data under the scope of the GDPR, in order to ensure the systems are authorized and processing is properly documented.</p><h4>Impact:</h4><p>In addition to general security benefits, this detection will help inform the data privacy officer whether any new connections have been established to applications or service providers. For these connections, pushing or pulling personal data can be out of compliance. Under Article 30, organizations are required to maintain a record of processing activities, including the name and contact details of the controller, the purposes of the processing, description of the categories of data subjects and personal data processed. Additionally, they must maintain record of categories of recipients to whom the personal data have been or will be disclosed, including recipients in third countries or international. Detecting any new connected applications or service providers which might not be whitelisted or documented, can indicate a potential state of non-compliance state and the Data Privacy Officer will be required to follow up and document. This situation may not impact organizations who employ fewer than 250 persons and therefore may not have critical categories of personal data for processing.</p>",Yes,"This example leverages the Simple Search search assistant. Our example dataset is a collection of anonymized Firewall logs (onboarded in accordance with our Data Onboarding Guides), during which someone does something bad. Our live search looks for the same behavior using the standardized sourcetypes for Firewalls or the Common Information Model.",Yes,ubuntu8971,"First, use your data mapping results to build a lookup that associates systems to their GDPR category. This search should work out of the box with Palo Alto Networks firewalls, and with any other device that uses the Splunk common information model. Just make sure you use a Splunk Add-on that maps them to the Common Information Model (search on Splunkbase!)",,,,,Stage_4,,No known false positives at this time.,,New Connection to In-Scope Device,UC0114,"When a new host connects to an in-scope GDPR system, check to make sure it is documented.",2.0.0,"In addition to the general security benefits, this detection will help the data privacy officer of an organization in their GDPR requirements to detect if any new applications or service providers have been connected to push or pull personal data without the proper documentation. This helps to trigger the update of the documentation and engage the DPO, enabling continuous monitoring to detect unauthorized and undocumented new applications that do not follow corporate processes.",,,Security Monitoring|Compliance
Medium,Other,Splunk_App_for_Enterprise_Security,Endpoint Compromise|Insider Threat,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ES_Use_Case,Audit Trail,"Discovers anomalous activity such as the deletion of or clearing of log files. Attackers oftentimes clear the log files in order to hide their actions, therefore, this may indicate that the system has been compromised.",Splunk App for Enterprise Security,Audit,,,,,No,Help not needed -- ES Use Case,No,ubuntu8971,,,,,,Stage_2,,,,Anomalous Audit Trail Activity Detected,anomalous_audit_trail_activity_detected,,,,,,Security Monitoring|Insider Threat
None,Medium,Enterprise_Security_Content_Update,Unauthorized Software,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ESCU_Use_Case,Endpoint Detection and Response,"This search will create a table of statistically rare processes and the number of distinct hosts running them. The macro filter_process_whitelist can be used to filter out known, benign, process names that do not execute very often.",Enterprise Security Content Update,Endpoint,,,,,No,"This search takes all your processes, filters out processes that are marked as 'ok', then statistically counts the processes and outputs those that make up less than 3% of total processes.",No,ubuntu8971,,,,,,Stage_3,Installation|Command and Control|Actions on Objective,,Execution,Detect Rare Executables,detection_rare_executables_on_endpoint,,,,,Unusual Processes,Security Monitoring
Medium,Other,Splunk_App_for_Enterprise_Security,Scanning,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ES_Use_Case,IDS or IPS,Detects a potential vulnerability scanner by detecting devices that have triggered a large number of unique events. Vulnerability scanners generally trigger a high number unique events when scanning a host since each vulnerability check tends to trigger a unique event.,Splunk App for Enterprise Security,Network,,,,,No,Help not needed -- ES Use Case,Yes,ubuntu8971,,,,,,Stage_4,,,,Vulnerability Scanner Detected (by events),vulnerability_scanner_detected_by_events,,,,,,Security Monitoring|Compliance
None,Other,Splunk_Professional_Services,Command and Control|Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,IDS or IPS,"Outbound communication with servers hosted in regions where the organization does not expect to have employees, customers, or suppliers. ",Splunk Professional Services,Network,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_3,None,,None,Communication outbound to regions without business relationship,UC0021,,,,,,Advanced Threat Detection
Accelerated,Other,Splunk_App_for_Enterprise_Security,Endpoint Compromise|Data Exfiltration|Insider Threat,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ES_Use_Case,Email,Alerts when an host not designated as an e-mail server sends excessive e-mail to one or more target hosts.,Splunk App for Enterprise Security,Endpoint,,,,,No,Help not needed -- ES Use Case,No,ubuntu8971,,,,,,Stage_4,,,,Host Sending Excessive Email,host_sending_excessive_email,,,,,,Advanced Threat Detection|Insider Threat
Medium,Very High,Splunk_Security_Essentials,Command and Control|Data Exfiltration,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_first_seen_demo?ml_toolkit.dataset=New%20Domain%20-%20Demo,Web Proxy,Detects when users browse to domains never before seen in your organization.,Splunk Security Essentials,Threat,"Demo Data
Live Data","New Domain - Demo
New Domain - Live",,,Yes,"This example leverages the First Seen Assistant. Our example dataset is a collection of anonymized Proxy logs, where browses to a new website. Our live search looks for the same behavior, as detailed in How to Implement.",Yes,ubuntu8971,"Implementing this search is relatively straightforward, as it expects Common Information Model compliant data. Just ingest your proxy data (or other web browsing visibility, such as stream:http or bro), and make sure there is a uri field. The only other step is to make sure that you have the URL Toolbox app installed, which allows us to parse out the domains. When scaling this search to greater volumes of data (or more frequent runs), leverage acceleration capabilities. ",,,,,Stage_2,,"This search will inherently be very noisy. As a percentage of total domains, in most organizations new domains are very small. If you sent all of these events to the analysts though, it would be overwhelming. As a result, there are no known false positives per say, but value of any given alert is so small that you want to treat these alerts differently from most correlation searches. These are mostly appropriate just for contextual data, or to correlate with other indicators.",,Connection to New Domain,New_Domain,"These events are generally best to look at as contextual data for another event, for example uncleaned malware, new services, or unusual logins. The easiest way to accomplish this is to just record the events in a summary index, and then include searching that index as a part of your investigative actions. Enterprise Security customers can do this easily with the Risk Framework, which is effectively that -- create a risk indicator adaptive response action when saving this search, and it will then adjust the risk score of the assets involved, and show up in investigator workbench when you analyze an asset. Ultimately, to analyze the efficacy of any given alert here, we recommend looking up the domains in an Open Source Intelligence source like <a href=""http://www.virustotal.com"" target=""_blank"">VirusTotal</a>, <a href=""https://www.threatcrowd.org/"" target=""_blank"">ThreatCrowd</a>, etc.",2.1.0,"Savvy Threat Hunters always know when users browse to new domains. This can be relevant in a variety of scenario, but the primary is that when your system connects to a command and control server, or to a staging server containing malware, those are usually on unusual domains. If you believe that a host is infected, checking to see whether it hit new domains is a great indicator to check. For more information on this detection in general, check out the great blog post specifically about this detection by Splunk's own Andrew Dauria (<a href=""https://www.splunk.com/blog/2018/01/17/finding-new-evil-detecting-new-domains-with-splunk.html"" target=""_blank"">link</a>).",,,Advanced Threat Detection
None,Medium,Enterprise_Security_Content_Update,Ransomware,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ESCU_Use_Case,Network Communication,This search looks for spike in the number of Server Message Block (SMB) traffic connections,Enterprise Security Content Update,Network,,,,,No,"SMB traffic is used for Windows file sharing activity. The WannaCry ransomware leveraged a vulnerability in the SMB protocol to propagate to other systems. A spike in SMB traffic could indicate an infected host attempting to spread ransomware to other hosts in your environment. This search could also be effective for other situations where SMB is used to automate the spread of ransomware or malware throughout an environment. If there is a large spike in SMB traffic, you may want to investigate the source and analyze the cause for the abnormal traffic.",Yes,ubuntu8971,,,,,,Stage_2,Actions on Objective,,,SMB Traffic Spike,detection_smb_traffic_spike,,,,,Ransomware,Security Monitoring
,Other,Splunk_User_Behavior_Analytics,Lateral Movement|Insider Threat|Account Compromise|IAM Analytics,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/UBA_Use_Case,Authentication|Windows Security,Malicious AD Activity,Splunk User Behavior Analytics,Other,,,,,No,Help not needed -- UBA Use Case,No,ubuntu8971,,,,,,Stage_4,None,,None,Malicious AD Activity,malicious_ad_activity,,,,,,Advanced Threat Detection|Insider Threat|Security Monitoring|Compliance
None,Medium,Enterprise_Security_Content_Update,Lateral Movement,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ESCU_Use_Case,Endpoint Detection and Response,"This search looks for the remote desktop process, mstsc.exe, running on systems it doesn't typically run on. This is accomplished by filtering out all systems that are noted in the common_rdp_source category in the Assets and Identity framework.",Enterprise Security Content Update,Endpoint,,,,,No,"This search finds systems that do not commonly use remote desktop. It does this by filtering out all systems that have the ""common_rdp_source"" category applied to that system.  Categories are applied to systems using the Assets and Identity framework.",No,ubuntu8971,,,,,,Stage_3,Actions on Objective,,Lateral Movement,Remote Desktop Process Running On System,detection_remote_desktop_process_running_on_system,,,,,Lateral Movement,Advanced Threat Detection
None,Other,Splunk_Professional_Services,Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,Anti-Virus,Multiple infections detected on the same endpoint in a short period of time could indicate the presence of an undetected loader malware component (apt).,Splunk Professional Services,Endpoint,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_3,None,,None,Endpoint Multiple infections over short time,UC0028,,,,,,Advanced Threat Detection
Advanced,Other,Splunk_App_for_Enterprise_Security,Compliance|Insider Threat|Data Exfiltration|GDPR,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ES_Use_Case,Any Host Logs,"Detects personally identifiable information (PII) in log files. Some software can inadvertently provide sensitive information in log files, resulting in potential exposure to those reviewing the log files.",Splunk App for Enterprise Security,Audit,,,,"<p>While not explicitly required for GDPR, this capability is often seen as a part of maintaining State of the Art Security and supports GDPR requirements.</p>",No,Help not needed -- ES Use Case,No,ubuntu8971,,,,,,Stage_1,,,,Personally Identifiable Information Detected,personally_identifiable_information_detected,,,,,,Compliance|Insider Threat
None,Medium,Enterprise_Security_Content_Update,Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ESCU_Use_Case,Endpoint Detection and Response,This search looks for executions of cmd.exe spawned by a process that is often abused by attackers and does not typically launch cmd.exe.,Enterprise Security Content Update,Endpoint,,,,,No,"Obtaining access to the Command-Line Interface (CLI) is typically a primary attacker goal. Once an attacker has obtained the ability to execute code on a target system, they will often further manipulate the system via commands passed to the CLI. It is also unusual for many applications to spawn a command shell during normal operation, while it is often observed if an application has been compromised in some way. As such, it is often beneficial to look for cmd.exe being executed by processes that are often targeted for exploitation, or that would not spawn cmd.exe in any other circumstances. A lookup file is provided to easily modify the processes that are being watched for execution of cmd.exe.",No,ubuntu8971,,,,,,Stage_3,Exploitation,,Execution,Detect Prohibited Applications Spawning cmd.exe,detection_prohibited_apps_spawning_cmdprompt,,,,,Suspicious Command Line Executions,Advanced Threat Detection
Advanced,Very Low,Splunk_Security_Essentials,Endpoint Compromise|SaaS,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_simple_search?ml_toolkit.dataset=Emails%20With%20Lookalike%20Domains%20-%20Demo,Email,"<p>Emailing from a domain name that is similar to your own is a common phishing technique, such as splunk.com receiving an email from spiunk.com. This search will detect those similar domains.</p><p><b>Alert Volume:</b> Very Low</p>",Splunk Security Essentials,Network,"Demo Data
Live Data
Accelerated Data","Emails With Lookalike Domains - Demo
Emails With Lookalike Domains - Live
Emails With Lookalike Domains - Accelerated",,,Yes,<p>This example leverages the Simple Search assistant. Our dataset is an anonymized collection of email logs centered around a particular user for a month.</p>,Yes,ubuntu8971,"Implementing this search is generally fairly straightforward. If you have CIM compliant data onboarded, it should work out of the box, however you are always better off specifying the index and sourcetype of your email data (think particularly when you have multiple email log sources, such as a perimeter ESA and a core Exchange environment). If you have the right index, sourcetype, you have the src_user field, and you've installed the URL Toolbox app, it should work like a charm. ",,,,,Stage_4,Delivery,"<p>This search will through incoming emails for any domains similar to your domain names, much like running dnstwist on a domain name. If there are any incoming emails with source domain names that are very similar to but not the same, they would create alerts which could be false positives. One might imagine a scenario where a company who manufactures wodden planks for pirate ships, plank.com, emails their sales rep at splunk.com. That would create a difference of 2 (u->a, extra s) and would be flagged (Arrrr!). Known examples of this could be filtered out in the search, or you could pipe this into a First Time Seen detection to automatically remove past examples. </p>",,Emails with Lookalike Domains,showcase_emails_with_lookalike_domains,"<p>When this search returns values, initiate your incident response process and capture the time of the event, the sender, recipient, subject or the mail and attachments, if any. Contact the sender. If it is authorized behavior, document that this is authorized and by whom. If not, the user credentials may have been used by another party and additional investigation is warranted.</p>",1.2.0,,,,Advanced Threat Detection
Medium,Other,Splunk_App_for_Enterprise_Security,Lateral Movement,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ES_Use_Case,Audit Trail,Detects user and computer account deletion,Splunk App for Enterprise Security,Access,,,,,No,Help not needed -- ES Use Case,No,ubuntu8971,,,,,,Stage_2,,,,Account Deleted,account_deleted,,,,,,Security Monitoring
None,Low,Enterprise_Security_Content_Update,Operations,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ESCU_Use_Case,DNS,This search looks for DNS requests for faux domains similar to the domains that you want to have monitored for abuse.,Enterprise Security Content Update,Network,,,,,No,"This search gathers all the answers to each system's DNS query, then filters out all queries that do not appear on the list of faux ""look-a-like"" domains that have been generated from the brand abuse domains you are monitoring.",No,ubuntu8971,,,,,,Stage_3,Delivery|Actions on Objective,,,Monitor DNS For Brand Abuse,detection_brand_abuse_dns,,,,,Brand Monitoring,Security Monitoring
Medium,Other,Splunk_App_for_Enterprise_Security,Endpoint Compromise|Unauthorized Software,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ES_Use_Case,Endpoint Detection and Response,Alerts when a service in the prohibited process list is detected.,Splunk App for Enterprise Security,Endpoint,,,,,No,Help not needed -- ES Use Case,No,ubuntu8971,,,,,,Stage_4,,,,Prohibited Process Detected,prohibited_process_detected,,,,,,Advanced Threat Detection|Security Monitoring
Advanced,Other,Splunk_App_for_Enterprise_Security,Operations,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ES_Use_Case,Network Communication,Multiple Primary Functions Detected,Splunk App for Enterprise Security,Endpoint,,,,,No,Help not needed -- ES Use Case,No,ubuntu8971,,,,,,Stage_4,,,,Multiple Primary Functions Detected,multiple_primary_functions_detected,,,,,,Security Monitoring
Basic,Very High,Splunk_Security_Essentials,Operations|GDPR,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_simple_search?ml_toolkit.dataset=Windows%20Successful%20Updates%20Install%20-%20Demo,Other,<p>Malware often uses operating system vulnerabilities to infect an endpoint or to spread. This example verifies the Windows updates for specific vulnerabilities exploited by the WannaCry ransomware.</p><p><b>Alert Volume:</b> Very High</p>,Splunk Security Essentials,Operations,"Demo Data
Live Data","Windows Successful Updates Install - Demo
Windows Successful Updates Install - Live",,"<h4>Problem:</h4><p>Similar to ?€?High Number of Hosts Not Updating Malware Signatures,?€? ?€?Detection of Uncleaned Malware on Endpoint,?€? and ?€?In-Scope Device with Outdated Anti-Malware Found?€?, infections can occur or persist if the operating system is not updating with the latest security patches. Even a single host with outdated patch level can indicate a potential infection. </p><p>If that host is tagged under the GDPR category, then immediate remediation is required to address that non-compliant condition.</p><h4>Impact:</h4><p>Unpatched systems are at higher risk of infection than unpatched. For any environments/systems that are involved in processing personal data, this situation can be critical, and especially so in a GDPR context. Article 32 of the GDPR requires that organizations regularly test, assess and evaluate effectiveness of implemented technical and organizational security controls. In the event that a Supervisory Authority executes powers to place an organization within the scope of a privacy audit, the organization must demonstrate compliance (Article 58) -- therefore, showcase that patching was properly managed and continuously monitored becomes an important capability. If the organization faces a personal data breach and individuals are impacted, those individuals affected have the right to demand compensation for material and non-material damage caused by the breach. The organization must prove that they have understood and addressed the risk appropriately and deployed proper countermeasures (Article 82). </p><p>Resolution Path: Generally speaking, it is critical to keep all systems up to date. </p><p>Specific to GDPR, the data mapping exercise from the DPO can inform which systems are in-scope -- that is, those systems that are associated with the GDPR category. From there, identify the in-scope systems needing updates, pinpoint the root issue for updates not occurring, and remediate those hosts by configuring them or the environment appropriately, depending on what the root issue turns out to be. </p>",Yes,Ransomware often leverages operating system vulnerabilities to infect an endpoint or to spread to other systems. This use case verifies that Windows updates for specific vulnerabilities exploited by the WannaCry ransomware are installed correctly on your Windows endpoints.,No,ubuntu8971,This use case requires a universal forwarder on the Windows endpoints you wish to monitor as well as the Windows add-on configured to send your logs to Splunk. You can also implement this use case using Windows event logs.,,,,,Stage_1,,None at the moment,,Monitor Successful Windows Updates,sser_monitor_successful_windows_updates,This search will let you know when one of your systems has had an update successfully applied. It will help you understand how long it takes from when a patch is available to when it is applied in your environment.,1.0.0,,,,Security Monitoring|Compliance
Medium,Low,Splunk_Security_Essentials,Data Exfiltration|GDPR|SaaS,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_first_seen_demo?ml_toolkit.dataset=New%20SFDC%20Tables%20Queried%20by%20Peer%20Group%20-%20Demo,CRM Logs|Audit Trail,<p>Salesforce.com supports a simplified query language called SOQL. This search detects users who begin querying sensitive tables that have never been contacted by peer group.</p><p><b>Alert Volume:</b> Low</p>,Splunk Security Essentials,Data,"Demo Data
Live Data","New SFDC Tables Queried by Peer Group - Demo
New SFDC Tables Queried by Peer Group - Live",,"<h4>Impact:</h4><p>Detecting first-time query attempts to sensitive tables by a peer group that has previously not accessed the tables in question, can help prove that individuals within the organization are not abusing or misusing legitimate access to assets that store and process personal data. This method is an industry best practice.</p><p>Specific to GDPR, this can be considered an effective security control, as required by Article 32. This is applicable to processing personal data from the controller, and needs to also be addressed if contractors or sub-processors from third countries or international organizations access and transfer personal data (Article 15). </p>",Yes,<p>This is the generic search builder for First Seen Detection. Our dataset is an anonymized data collection from an actual customer environment.</p>,No,ubuntu8971,"<p>Implementation of this example (or any of the First Time Seen examples) is generally very simple, though the peer group makes things slightly more complicated.<ul><li>Validate that you have the right data onboarded, and that the fields you want to monitor are properly extracted.</li><li>Save the search.</li></ul></p><p>To configure the Peer Group:<ol><li>Start with a data source that gives you visibility into the peer group -- easiest is usually querying Active Directory via the <a href=""https://splunkbase.splunk.com/app/1151/"">SA-ldapsearch add-on</a>, but you could get lists of users and their teams / departments / etc from any source you have.</li><li>Next you will need to convert that log source into a format that this lookup is expecting, which is as follows:<table class=""table"" style=""width: 300px""><tr><td>user</td><td>peergroup (order not important)</td></tr><tr><td>john</td><td>john|sarah</td></tr><tr><td>sarah</td><td>john|sarah</td></tr><tr><td>mark</td><td>mark</td></tr></table>The easiest way to do this is with a search like <span class=""spl"">| inputlookup LDAPSearch.csv | stats values(user) as user by department | eval peergroup=mvjoin(user, ""|"") | mvexpand user</span></li></ol></p><p>For most environments, these searches can be run once a day, often overnight, without worrying too much about a slow search. If you wish to run this search more frequently, or if this search is too slow for your envionment, we recommend leveraging a lookup cache. For more on this, see the lookup cache dropdown below and select the sample item. A window will pop up telling you more about this feature.</p>",,,,,Stage_3,Actions on Objective,"<p class=""disclaimer"">This is a strictly behavioral search, so we define ""false positive"" slightly differently. Every time this fires, it will accurately reflect the first occurrence in the time period you're searching over (or for the lookup cache feature, the first occurrence over whatever time period you built the lookup). But while there are really no ""false positives"" in a traditional sense, there is definitely lots of noise.</p> <p>You should not review these alerts directly (except for high sensitivity accounts), but instead use them for context, or to aggregate risk (as mentioned under How To Respond).</p>",Discovery|Collection,New Tables Queried by Salesforce.com Peer Group,showcase_new_sfdc_tables_peer,"<p>When this search returns values, initiate your incident response process and identify the user demonstrating this behavior. Capture the time of the event, the user's role, and tables queried. If possible, determine the system the user is using and its location. Contact the user and their manager to determine if it is authorized, and document that this is authorized and by whom. If not, the user credentials may have been used by another party and additional investigation is warranted.</p>",1.4.0,,,,Compliance|Insider Threat
Hard,Very Low,Splunk_Security_Essentials,Lateral Movement|Scanning,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_standard_deviation?ml_toolkit.dataset=Detect%20Spike%20in%20SMB%20Traffic%20-%20Demo,Network Communication,<p>This search looks for hosts with an unusually high increase in SMB network connections.</p><p><b>Alert Volume:</b> Very Low</p>,Splunk Security Essentials,Network,"Demo Data
Live Data","Detect Spike in SMB Traffic - Demo
Detect Spike in SMB Traffic - Live",,,Yes,This search looks for hosts with an unusually high increase in SMB network connections.,No,ubuntu8971,"To run this search, you must index data from sources that observe network traffic, such as Bro, Splunk Stream, or firewalls. You can then identify spikes in the number of SMB connection attempts.",,,,,Stage_1,Actions on Objective,No known false positives.,Discovery|Execution|Lateral Movement,Spike in SMB Traffic,sser_spike_in_smb_traffic,"When this search fires, you will to start your incident response process to verify the activity of the system is legitimate.  You should investigate and determine the process that initiated this traffic and verify its activities.",1.0.0,,detection_smb_traffic_spike,,Advanced Threat Detection|Security Monitoring
Accelerated,Other,Splunk_App_for_Enterprise_Security,Operations,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ES_Use_Case,Configuration Management,Increases the risk score of network devices that have been rebooted.,Splunk App for Enterprise Security,Network,,,,,No,Help not needed -- ES Use Case,No,ubuntu8971,,,,,,Stage_4,,,,Network Device Rebooted,network_device_rebooted,,,,,,Security Monitoring
None,Low,Enterprise_Security_Content_Update,Web Attack,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ESCU_Use_Case,Web Server,This search looks for unusually long strings in the Content-Type http header that the client sends the server.,Enterprise Security Content Update,Network,,,,,No,"This detection search uses HTTP traffic data captured with Splunk Stream.  The search is constructed to use ""stream:http"" sourcetype and counts of the number of times an HTTP request is received by a destination which the length of the Content-Type header value the client sends the server is greater than 100 characters long. We calculate this content_type_length field using the len function with the eval command, and output the results.",Yes,ubuntu8971,,,,,,Stage_1,Delivery,,Defense Evasion,Unusually Long Content-Type Length,detection_unusually_long_content-type_length,,,,,Apache Struts Vulnerability,Application Security
Basic,Low,Splunk_Security_Essentials,Operations,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_simple_search?ml_toolkit.dataset=Windows%20Updates%20Install%20Failure%20-%20Demo,Other,<p>Keeping current with Microsoft updates for Windows is one of the best ways to prevent malware. This example identifies hosts that have failed to implement appropriate updates.</p><p><b>Alert Volume:</b> Low</p>,Splunk Security Essentials,Operations,"Demo Data
Live Data","Windows Updates Install Failure - Demo
Windows Updates Install Failure - Live",,,Yes,Keeping current with Microsoft updates for Windows is one of the best ways to prevent WannaCry and other ransomware attacks. This use case evaluates Windows event logs and Windows update logs to identify hosts that have failed to implement the appropriate updates.,No,ubuntu8971,This use case requires a universal forwarder on the Windows endpoints you wish to monitor as well as the Windows add-on configured to send your logs to Splunk. You can also implement this use case using Windows event logs.,,,,,Stage_1,,None at the moment,,Monitor Unsuccessful Windows Updates,sser_monitor_unsuccessful_windows_updates,"When this search files, you'll want to investigate why the update was not successfully applied to the system.",1.0.0,,,,Security Monitoring
