actions_UBASeverity,cardinalityTest,change_type,description,examples_name,label,outlierPeerGroup,outlierValueTracked1,outlierValueTracked2,outlierVariable,outlierVariableSubject,prereqs_field,prereqs_greaterorequalto,prereqs_name,prereqs_override_auto_finalize,prereqs_resolution,prereqs_test,value
7,,,"First we bring in our dataset. This is the output of an exceedingly complicated macro that pulls from Splunk's authorization information, which was grabbed for Data Governance.
Next we enrich the index field with the GDPR category.
Because this is a GDPR search, we search for just the GDPR in scope indexes.
Next we enrich the user field with the User's GDPR status.
Because a user or index can belong to many different categories, we use mvexpand to split them into a multi-value field.
Finally we look for users who don't have a matching GDPR category, or who aren't authorized for any GDPR information at all.",Splunk Role Check GDPR - Live,Splunk Role Check GDPR - Live,,,,,,,,,,,,"| `User_to_Index_Provisioning_From_Data_Governance_App`
| lookup gdpr_splunk_index_category index as accessible_indexes OUTPUT category as index_category 
| search index_category=* 
| lookup gdpr_user_category user OUTPUT category as user_category
| makemv delim=""|"" index_category | makemv delim=""|"" user_category 
| where isnull(user_category) OR user_category != index_category "
7,,,"First we bring in our basic dataset. In this case, Windows logs.
Next we use the magic of stats+eval to count how many events there are where the action is success, or the action is failure
Next we filter for where there is at least one success, and more than 100 failures.
Finally we look up the host in the GDPR categorization lookup. Because we only care about GDPR hosts for this example, we filter for only the hosts that are in scope for GDPR.",Brute Force GDPR - Live,Brute Force GDPR - Live,,,,,,"count
count","1
1","Must have Windows Security data
Must have the user field defined",,"This search requires Windows Security data to run. If it is not present, consider ingesting it via the Splunk Universal Forwarder.
You should have a field called ""user"" defined in your Windows Security logs. This is provided by the Splunk TA for Windows. Consider adding that TA to make for a better experience!","| metasearch earliest=-2h latest=now sourcetype=""*WinEventLog:Security"" index=* | head 100 | stats count 
sourcetype=""*WinEventLog:Security"" earliest=-2h index=* | head 100 | stats dc(user) as count","index=* (sourcetype=win*security OR sourcetype=linux_secure OR tag=authentication) user=* user!=""""  
| stats count(eval(action=""success"")) as successes count(eval(action=""failure"")) as failures by src dest 
| where successes>0 AND failures>100  
| lookup gdpr_system_category host as dest| search category=* "
,,,"First we load our Sysmon demo data
From sysmon data, we care primarily about file writes (code 11) or timestamp changes (code 2), so we filter for that
Next we use the rex command to extract file extensions using a moderately complex regular expression.
Now that we have our file extensions, we want to look them up. Splunk has a capability of looking up data in a CSV file through the lookup command. This will take the file extension we just extracted, ""look it up"" in the csv file, and then add any new fields.
The field from the lookup is ""Name"" so we can now search for any true Name field.
And finally we can pull out all the filenames and put them into a usable format via the stats command.",Ransomware Extensions - Demo,Ransomware Extensions - Demo,,,,,,UC_ransomware_extentions.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah "," | inputlookup UC_ransomware_extentions 
| search EventCode=2 OR EventCode=11 
| rex field=TargetFilename ""(?<file_extension>\.[^\.]+)$"" 
| lookup ransomware_extensions_lookup Extensions AS extension 
| search Name!=false  
| stats values(TargetFilename) AS ""Files Written"" by _time, host, Image, Name, extension"
7,,,"First we bring in our basic dataset. In this case, we are using risk events from Symantec Endpoint Protection.
To detect uncleaned Malware, we look for where the action taken is not the primary or secondary action expected.
Finally we put everything in a nice and usable table!",Endpoint Uncleaned Malware - Live,Endpoint Uncleaned Malware - Live,,,,,,count,1,Must have Symantec AV data,,"For simplicity, this search is written specifically for Symantec AV data, but it can be easily modified for other sources. ",| metasearch earliest=-24h latest=now index=* sourcetype=symantec:ep:* | head 100 | stats count ,"index=* sourcetype=symantec:ep:*:file  
| where Actual_Action!=Requested_Action AND Actual_Action!=Secondary_Action  
| table _time Action_Action Requested_Action Secondary_Action Risk_Name File_Path Computer_Name"
7,,,"First we pull in our accelerated dataset, which comes from Firewall Logs and targets scenarios where we will have a small number of DNS connections with a large amount of volume. tstats here is giving us the number of bytes sent per source_ip, filtered for dest_port 53
Eventstats then allows us to calculate all manner of statistics. This is one of the more complicated stats syntaxes that you will see, but it's actually not that complicated. The big component here is leveraging stats+eval, where we can embed the flexible logic of eval inside of stats. In this case, when we are calculating our average and standard deviation, we really want to exclude the most recent values (that which we're concerned about), so that they don't sway our average (imagine you churn along at 1 kb per hour, then in the last hour it's 150 MB.. you really want your normal baseline to be 1 KB). One other note here -- we are doing two different eventstats, one on a global basis, one on a per host basis. That's so we can try to identify a host that's always at the top of the charts, while overall looking across the org, giving us a good balance across servers with static IPs and DHCP hosts that move around.
Here's where we really start doing the important work. Our lengthy eventstats gave us all these fields that we can filter on and interpret based on. (When testing this out, feel free to remove this line and those that follow, so you can see the raw fields coming out of eventstats.) Now we need to filter for hosts that are substantially above the norm.
From our last line, we have focused in to just hosts that are behaving abnormally. Here, we are using eval to add another field to the results -- not one focused on detection logic, but to try to add context and summarize some of the maths for an analyst to see why we are surfacing this host.
Finally, we clear up some of the nonsense fields we don't care that much about, again to make things clearer for the analyst.",Huge Volume of DNS Traffic - Accelerated,Huge Volume of DNS Traffic - Accelerated,,,,,,"count
count
count","1
1
1","Must have a Network Traffic data model
Must have an accelerated Network Traffic data model
Network Traffic data model must have a src_ip and bytes_out",,"This search requires Firewall or Netflow data to run. We are searching here for the common information model network traffic data model.
In addition to searching for the common information model network traffic data model, we are telling Splunk to only visit accelerated data models.
In addition to searching for the accelerated common information model network traffic data model, we are telling Splunk to verify that there is a src_ip, and that bytes_out is greater than zero bytes in this data set.","| tstats count from datamodel=Network_Traffic where earliest=-1h 
| tstats summariesonly=t allow_old_summaries=t count from datamodel=Network_Traffic where earliest=-1h 
| tstats summariesonly=t allow_old_summaries=t sum(All_Traffic.bytes_out) as bytes dc(All_Traffic.src_ip) as src from datamodel=Network_Traffic where earliest=-1h | eval count = bytes * src","| tstats summariesonly=t allow_old_summaries=t sum(All_Traffic.bytes_out) as count from datamodel=Network_Traffic where All_Traffic.dest_port=53 by All_Traffic.src_ip _time span=1d 
| eventstats max(_time) as maxtime avg(bytes_out) as avg_bytes_out stdev(bytes_out) as stdev_bytes_out | eventstats count as num_data_samples avg(eval(if(_time < relative_time(maxtime, ""@h""),bytes_out,null))) as per_source_avg_bytes_out stdev(eval(if(_time < relative_time(maxtime, ""@h""),bytes_out,null))) as per_source_stdev_bytes_out by src_ip  
| where num_data_samples >=4 AND bytes_out > avg_bytes_out + 3 * stdev_bytes_out AND bytes_out > per_source_avg_bytes_out + 3 * per_source_stdev_bytes_out AND _time >= relative_time(maxtime, ""@h"") 
| eval num_standard_deviations_away_from_org_average = round(abs(bytes_out - avg_bytes_out) / stdev_bytes_out,2), num_standard_deviations_away_from_per_source_average = round(abs(bytes_out - per_source_avg_bytes_out) / per_source_stdev_bytes_out,2) 
| fields - maxtime per_source* avg* stdev*"
7,,,"First we bring in our basic demo dataset, Symantec Endpoint Operational Logs. We're using a macro called Load_Sample_Log_Data to wrap around | inputlookup, just so it is cleaner for the demo data.
Next we use a relatively complicated stats command to track the time of the last update, and the time of the last error.
Next we filter for the events where the time of the last update was more than three days ago, or where the last error was more recent than the last update.
Next we look up the host in the GDPR categorization lookup. Because we only care about GDPR hosts for this example, we filter for only the hosts that are in scope for GDPR.
Finally, we format the timestamps in a human readable way.",Outdated Malware Definitions GDPR - Demo,Outdated Malware Definitions GDPR - Demo,,,,,,anon_interactive_logons.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"
| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files 
| eval blah=1, row=""row""
| xyseries row title blah ","| `Load_Sample_Log_Data(Symantec Endpoint Protection Operations)` 
|stats max(eval(if(like(Event_Description, ""%LiveUpdate session ran successfully%"") , _time, null))) as LatestUpdate max(_time) as LatestMessage max(eval(if(tag=""error"", _time, null))) as LatestError by Host_Name  
| where LatestUpdate < relative_time(LatestMessage, ""-3d"") OR LatestError > LatestUpdate 
| lookup gdpr_system_category host as Host_Name | search category=*
| convert ctime(LatestUpdate) ctime(LatestMessage) ctime(LatestError)"
,,,"First we load our Windows Event Log data and filter for the Event Codes that indicate the Windows event log is being cleared. You can see there are a few possibilities. 
Then, because we respect analysts, we put it in a nice easy-to-consume table.",Windows Event Log Clearing Events - Live,Windows Event Log Clearing Events - Live,,,,,,"count
count
count","1
1
1","Must have Windows Security Log data
Must have Windows System Log data
Must have audit log events (EventCode=1100 or EventCode=1102 or EventCode=104)",,"This search requires Windows Security Log data to run. If it is not present, consider ingesting it via the Splunk Universal Forwarder.
This search requires Windows System Log data to run. If it is not present, consider ingesting it via the Splunk Universal Forwarder.
Verify that you are generating and receiving logs with these EventCodes. This is provided by the Splunk TA for Windows. Consider adding that TA to make for a better experience!","| metasearch earliest=-2h latest=now sourcetype=""*win*security"" index=* | stats count
| metasearch earliest=-2h latest=now sourcetype=""*win*system"" index=* | stats count
(sourcetype=""*win*system"" OR sourcetype=""*win*security"") (EventCode=1100 OR EventCode=1102 OR EventCode=104) index=* | head 100 | stats count","index=* ((sourcetype=wineventlog:security OR XmlWinEventlog:Security) AND (EventCode=1102 OR EventCode=1100)) OR ((sourcetype=wineventlog:system OR XmlWinEventlog:System) AND EventCode=104) 
| stats count by _time EventCode sourcetype host"
7,,,"First we bring in our basic demo dataset, Symantec Endpoint Operational Logs. We're using a macro called Load_Sample_Log_Data to wrap around | inputlookup, just so it is cleaner for the demo data.
Next we use a relatively complicated stats command to track the time of the last update, and the time of the last error.
Next we filter for the events where the time of the last update was more than three days ago, or where the last error was more recent than the last update.
Finally, we format the timestamps in a human readable way.",Outdated Malware Definitions - Demo,Outdated Malware Definitions - Demo,,,,,,anon_interactive_logons.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"
| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files 
| eval blah=1, row=""row""
| xyseries row title blah ","| `Load_Sample_Log_Data(Symantec Endpoint Protection Operations)` 
|stats max(eval(if(like(Event_Description, ""%LiveUpdate session ran successfully%"") , _time, null))) as LatestUpdate max(_time) as LatestMessage max(eval(if(tag=""error"", _time, null))) as LatestError by Host_Name  
| where LatestUpdate < relative_time(LatestMessage, ""-3d"") OR LatestError > LatestUpdate 
| convert ctime(LatestUpdate) ctime(LatestMessage) ctime(LatestError)"
,,,"First we load our NGFW data (we include many different options here -- you should specify the index and sourcetype for the device that exists in your environment. Then we filter for where the firewall detects the presence of tor, and where we know the source_ip involved.
Finally we put everything in a table so that it's easy to use.",Monitor TOR traffic - Live,Monitor TOR traffic - Live,,,,,,"count
count","1
1","Must have network traffic.
Make sure the app field is populated.",,"Ingest network traffic logs, consider using Splunk Stream.
Use a NGFW or another tool to identify the application layer protocol.","index=* ((tag=network tag=communicate) OR (sourcetype=pan*traffic OR sourcetype=opsec OR sourcetype=cisco:asa OR sourcetype=stream*)) earliest=-1h latest=now | stats count
index=* ((tag=network tag=communicate) OR (sourcetype=pan*traffic OR sourcetype=opsec OR sourcetype=cisco:asa OR sourcetype=stream*)) earliest=-1h latest=now | stats dc(app) as count","index=* ((tag=network tag=communicate) OR (sourcetype=pan*traffic OR sourcetype=opsec OR sourcetype=cisco:asa OR sourcetype=stream*)) app=tor src_ip=* 
| table _time src_ip src_port dest_ip dest_port bytes app"
,,,"First we load our Windows Update data, filtered for just Windows Update messages that are related to specific KB we know we need to focus on.
Now we have a large number of events and we will want to roll them up into something more usable. stats is great at that!
And finally we can filter for exactly the events we care about.",Windows Updates Install Failure - Live,Windows Updates Install Failure - Live,,,,,,count,1,Must have Windows Update logs,,This data is provided by the Windows TA. Consider using the TA for a better experience.,| metasearch index=* sourcetype=WindowsUpdateLog earliest=-1h latest=now | stats count,"index=* sourcetype=WindowsUpdateLog (KB4012598 OR KB4012212 OR KB4012215 OR KB4012213 OR KB4012216 OR KB4012214 OR KB4012217 OR KB4012606 OR KB4013198 OR KB4013429) 
| stats latest(status) as lastStatus by _time, dest, signature, signature_id 
| search lastStatus=failure"
7,,,"First we pull in our basic dataset, which consists of XML format Sysmon logs from the endpoints (ingested via the sysmon TA). This could be any EDR data source that provides the full CLI string. Because we're looking for process launches, we then filter for EventCode=1 (the sysmon Process Launch code).
Eventstats is like stats, but just adds the results to your existing dataset. So this will give us the avg and stdev of the command line length per host.
Finally we use stats to roll up multiple process launches, giving us the length of that cli string alongside the avg and stdev of the host, per host, per cli string.
With that setup, we can find processes that have substantially longer cli strings (4 * the standard deviation) than the average on this system.",Find Unusually Long CLI Commands - Live,Find Unusually Long CLI Commands - Live,,,,,,count,1,Must have Microsoft sysmon logs,,"Sysmon is a free Microsoft tool that provides all kinds of great value. Consider pulling the data in via our <a href=""https://splunkbase.splunk.com/app/1914/"">Splunk App</a>. Check out the <a href=""http://conf.splunk.com/files/2016/slides/splunking-the-endpoint-hands-on.pdf"">Splunking the Endpoint</a> .conf presentation to see what you can do with this data!","| metasearch index=* sourcetype=""xmlwineventlog:microsoft-windows-sysmon/operational""  earliest=-1h latest=now  | stats count ","index=* sourcetype=""xmlwineventlog:microsoft-windows-sysmon/operational"" EventCode=1  
|eval cmdlen=len(CommandLine) | eventstats stdev(cmdlen) as stdev,avg(cmdlen) as avg by host
| stats max(cmdlen) as maxlen, values(stdev) as stdevperhost, values(avg) as avgperhost by host,CommandLine 
| where maxlen>4*stdevperhost+avgperhost"
7,,,"First we bring in our basic dataset, Symantec Endpoint Protection Risks, over the last thirty days.
Next we use stats to calculate the distance between the earliest and latest time of an infection with the range() function. This will give us a number in seconds.
Then we filter for a range of greater than 30 minutes (so at least 30 minutes between infections).
Finally we do some formatting to provide usable numbers, so that no one has to calculate seconds to days.",Recurring Infection on Host - Live,Recurring Infection on Host - Live,,,,,,count,1,Must have Symantec AV data,,"For simplicity, this search is written specifically for Symantec AV data, but it can be easily modified for other sources. ",| metasearch earliest=-24h latest=now index=* sourcetype=symantec:ep:* | head 100 | stats count ,"index=* sourcetype=symantec:* earliest=-30d 
| stats count range(_time) as TimeRange by Risk_Name, Computer_Name 
| where TimeRange>1800 
| eval TimeRange_In_Hours = round(TimeRange/3600,2), TimeRange_In_Days = round(TimeRange/3600/24,2)"
7,,,"First we bring in our basic dataset, which in this case is Windows Security EventID 4688 Process Launch Logs, but could come from any EDR data source. We use index=* here (though you should replace with the index you use for Windows Security events, like index=oswinsec) and specify the standard sourcetype of Windows Security events pulled from the Splunk TA for Windows. Finally, we look for EventCode 4688, which are the Windows Process Launch Logs.
From line one we have our process launch logs, now we need to filter that down to just the potential attack tools. We do this via a subsearch. A subsearch goes and runs another search, and then takes those results and inserts them into the main search. You can copy-paste that subsearch into a new search window and see what the results look like -- there's a single field called ""search"" that has a bunch of file names with ORs between them. That will effectively be inserted into our main search, giving us a really long search string without having to maintain a really long search.
From Line 1-2, we have a list of suspicious process launches. Now we want to see if many of those fire around the same time. Transaction is great for that -- it lets us group together events that all have the same value for a field, in this case the same host. maxpause=5m lets us continue grouping together any events that have no more than 5 minutes between each one.
From line 1-3, we have grouping of suspicious process launches, but also transaction has added a few new fields, such as duration and eventcount. Eventcount lets us see how many process launches are in each transaction (each grouping of suspicious process launches), so we can filter for when there are at least 4 launch events together.
Finally we clear up a few fields that Transaction adds.",Series of Hacker Filenames - Live,Series of Hacker Filenames - Live,,,,,,"count
count","1
1","Must have Windows Security Logs
Must have Process Launch Logs (Event ID 4688)",,"Begin ingesting Windows Security Logs
Turn on Process Tracking in your Windows Audit logs (<a href=""https://technet.microsoft.com/en-us/library/cc976411.aspx"">docs</a>)","| metasearch index=* earliest=-2h latest=now sourcetype=""WinEventLog:Security"" | stats count 
earliest=-2h latest=now index=* sourcetype=""WinEventLog:Security"" EventCode=4688 | head 100 | stats count ","index=* sourcetype=""WinEventLog:Security"" EventCode=4688 
[| inputlookup tools.csv WHERE discovery_or_attack=attack | stats values(filename) as search | format] 
| transaction host maxpause=5m 
| where eventcount>=4
| fields - _raw closed_txn field_match_sum linecount"
7,,,"First we bring in our basic dataset, Palo Alto Networks logs, filtered for access to PII data (Workday, though you can apply to any other data sources).
Finally, we format just the data that users want to see.",Access to Inscope Resources GDPR - Live,Access to Inscope Resources GDPR - Live,,,,,,"count
count
count","1
1
1","Must have Firewall data
Must have an app field
Must have workday in this data source (otherwise adjust the search)",,"This search requires Firewall or Netflow data to run. By default, we're checking for Common Information Model compliant data, and then also manually specifying the standard sourcetypes for Check Point, Palo Alto Networks, and Cisco ASAs. You should specify your particular index and sourcetype in the actual search to improve performance (or better yet, accelerate with the common information model!)
This search is also looking for firewall logs, but with the added filter of making sure that an app is defined.
This search is also looking for firewall logs, but with the added filter of making sure that the workday app exists in the data","(tag=network tag=communicate) OR (index=pan_logs sourcetype=pan*traffic) OR (index=* sourcetype=opsec) OR (index=* sourcetype=cisco:asa)| head 100 | stats count 
((tag=network tag=communicate) OR (index=pan_logs sourcetype=pan*traffic) OR (index=* sourcetype=opsec) OR (index=* sourcetype=cisco:asa)) app=* | head 100 | stats count 
((tag=network tag=communicate) OR (index=pan_logs sourcetype=pan*traffic) OR (index=* sourcetype=opsec) OR (index=* sourcetype=cisco:asa)) app=workday* | head 100 | stats count ","((tag=network tag=communicate) OR (index=pan_logs sourcetype=pan*traffic) OR (index=* sourcetype=opsec) OR (index=* sourcetype=cisco:asa) app=workday* 
| table _time user app bytes* src_ip dest_ip"
7,,,"First we start by pulling a count of events overall by host. (Note that when using back-to-back tstats, your field names need to be different, but you can't us the familiar 'count as count1' syntax, so here we use 'count(host)' to distinguish from the 'count' in the next line.
Now we pull a count of events for our in scope security source(s) by host, here Windows Security logs.
Next we use stats to combine our two prestats=t tstats commands into one usable stats. Whenever you use tstats prestats=t, you need a stats, chart, or similiar to pull the hidden prestats fields into the light so that you can use them.
From lines 1-3 we have a count of events per source (all vs security) per host per day, now we can calculate a percentage of logs that were WinSecurity on each of those days (for each of those hosts).
Technically this line isn't really required because we should be able to use now() in the next line, but I typically use it for uniformity with the demo datasets and in case you have some weird timezone hijinks in your environment.
Now we start the tricky piece. How do we figure out the business logic for when we want to be alerted to a security log going silent? At this stage, we're collecting a number of data points that we could use. For example, past_instances_of_no_logs will tell us how many days in the past we had no logs from this host -- if this is non-zero, then no logs today is much more likely to be benign. Similarly, we can use avg and stdev to calculate how wide a distribution there typically is -- if sometimes you have tons of security events, sometimes you have none, then this is could be just chance.
Finally we apply our filtering. In testing, the most reliable metric seemed to be looking for hosts where we do have a baseline (at least ten days, so we know something about this host), we have some historical data (isnotnull(avg)), and we've never seen a day with zero events before.",Hosts That Stop Reporting Sourcetypes - Live,Hosts That Stop Reporting Sourcetypes - Live,,,,,,,,,,,,"| tstats prestats=t count(host) where index=* groupby host _time span=1d 
| tstats prestats=t append=t count where index=* sourcetype=""WinEventLog:Security"" by host  _time span=1d 
| stats count(host) as all_logs count as win_logs by host _time 
| eval win_perc=round(100*(win_logs / all_logs), 2) 
| eventstats max(_time) as maxtime 
| stats count as num_data_samples avg(eval(if(_time<relative_time(maxtime, ""-1d@d""), win_perc, null))) as avg sum(eval(if(_time<relative_time(maxtime, ""-1d@d"") AND win_perc=0, 1, null))) as past_instances_of_no_logs max(eval(if(_time>=relative_time(maxtime, ""-1d@d""), win_perc, null))) as latest by host 
| where isnotnull(avg) AND num_data_samples>10 AND isnull(past_instances_of_no_logs) AND latest=0"
7,,,"First we pull in our demo dataset. This could be any EDR data source that provides file hash information.
From line one we have our process launch logs, now we need to filter that down to just the potential attack tools. We do this via a subsearch. A subsearch goes and runs another search, and then takes those results and inserts them into the main search. You can copy-paste that subsearch into a new search window and see what the results look like -- there's a single field called ""search"" that has a bunch of file hashes with ORs between them. That will effectively be inserted into our main search, giving us a really long search string without having to maintain a really long search.
From Line 1-2, we have a list of suspicious process launches. Now we want to see if many of those fire around the same time. Transaction is great for that -- it lets us group together events that all have the same value for a field, in this case the same host. maxpause=5m lets us continue grouping together any events that have no more than 5 minutes between each one.
From line 1-3, we have grouping of suspicious process launches, but also transaction has added a few new fields, such as duration and eventcount. Eventcount lets us see how many process launches are in each transaction (each grouping of suspicious process launches), so we can filter for when there are at least 4 launch events together.
Finally we clear up a few fields that Transaction adds.",Series of Hacker Hashes - Demo,Series of Hacker Hashes - Demo,,,,,,generic_sysmon_service_launch_logs.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah ","| `Load_Sample_Log_Data(""Generic Sysmon Process Launches"")` 
 |search [|inputlookup tools.csv | search discovery_or_attack=attack | eval hash=""sha1="" . hash | stats values(hash) as search | eval search=mvjoin(search, "" OR "")]
 | transaction host maxpause=5m
 | where eventcount>=4 
| fields - _raw closed_txn field_match_sum linecount"
,,,"First we load our basic demo data
Next we look for any instances of WMIC (Windows Management Instrumentation Command-line) being launched (EventCode 1 indicates a process launch), and filter to make sure our suspicious fields are in the CommandLine string.
Then we put the data into a table because that's the easiest thing to use.",Detecting WMI Remote Process Creation - Demo,Detecting WMI Remote Process Creation - Demo,,,,,,UC_wmi.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah ","| inputlookup UC_wmi 
| search EventCode=1 Image=*wmic* CommandLine=*node* CommandLine=""*process call create*"" 
| table _time host Image CommandLine"
7,,,"First we pull in our demo dataset. This could be any EDR data source that provides file hash information.
Earlier versions of sysmon didn't extract a filename by default, so we are adding that in here. We also make it lowercase so that Windows' lack of case sensitivity doesn't mess with our analysis.
Next we use stats to calculate how many different filenames that hash ran as, including the filenames and the full cli strings for contextual data.
Finally, we filter for where the same hash ran as at least two filenames, indicating a rename.",Find Processes with Renamed Executables - Demo,Find Processes with Renamed Executables - Demo,,,,,,generic_sysmon_service_launch_logs.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah ","| `Load_Sample_Log_Data(""Generic Sysmon Process Launches"")` 
| rex field=Image ""[\\\/](?<filename>[^\\\/]*)$"" | eval filename=lower(filename) 
| stats dc(filename) as NumFilenames values(filename) as Filenames values(Image) as Images by sha1 
| where NumFilenames>1"
,,,"First we bring in AWS Cloudtrail logs, filtering for the PutBucketAcl events that occur when bucket permissions are changed, and filtering for any that include AllUsers.
Next, we extract the User who made the change, via the spath search command that will traverse the JSON easily.
Similarly, we extract the bucket name.
Here is where things get tricky -- AWS uses JSON arrays to show multiple permissions in one message. What we're doing here is extracting that block of ACLs -- spath will return a multi-value field to us. Then we can expand that into multiple events (so if before there were 2 events with 3 ACLs defined in each, we would end up with six events -- three copies of each original event, but the grantee field would be different). Finally, we can use spath to extract the values from each grantee field.
Next, we can search for just those individual permissions apply to all users (unauthenticated users). While we're missing some context here about who else has permissions, we can follow-on to investigtate.
Last, we format the data a bit to meet our needs.
Now we calculate the distance using an approximation for the curvature of the earth. Easy, right? I do not understand it, I copy-pasted from https://answers.splunk.com/answers/317935/calculating-distances-between-points-with-geoip-us.html#answer-568451
Here we pull the date of the event, to make this easier to run over longer time windows.
Finally we use stats to collect all of the values into one line, per user, per day, and per set of locations. We're using some specific AWS data fields here -- if you're using a log source like VPN, then you might choose other fields.",AWS Public Bucket - Live,AWS Public Bucket - Live,,,,,,count,1,Must have AWS CloudTrail data (though could be applied to other data sources),,"In order to run this search, you must have AWS CloudTrail data onboard. Visit the <a href=""/app/Splunk_Security_Essentials/data_source?technology=AWS%20CloudTrail"">data onboarding guide for AWS CloudTrail in this app</a>, or browse to <a href=""https://splunkbase.splunk.com/app/1876/"">apps.splunk.com</a> for more information.",| tstats count where earliest=-2h latest=now index=* sourcetype=aws:cloudtrail,"index=* sourcetype=aws:cloudtrail AllUsers eventName=PutBucketAcl 
| spath output=userIdentityArn path=userIdentity.arn 
| spath output=bucketName path=""requestParameters.bucketName"" 
| spath output=aclControlList path=""requestParameters.AccessControlPolicy.AccessControlList"" | spath input=aclControlList output=grantee path=Grant{} | mvexpand grantee | spath input=grantee 
| search ""Grantee.URI""=*AllUsers 
| table _time, Permission, Grantee.URI, bucketName, userIdentityArn | sort - _time"
7,,,"First we bring in our basic demo dataset, which is just a count of events per host (see the live search for detail). We're using a macro called Load_Sample_Log_Data to wrap around | inputlookup, just so it is cleaner for the demo data.
We're filtering for hosts that have always sent us data, and are not currently sending us data.
Next we look up the host in the GDPR categorization lookup. Because we only care about GDPR hosts for this example, we filter for only the hosts that are in scope for GDPR.",Expected Host GDPR - Demo,Expected Host GDPR - Demo,,,,,,anon_interactive_logons.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"
| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files 
| eval blah=1, row=""row""
| xyseries row title blah ","| `Load_Sample_Log_Data(Raw Event Counts by Host)` 
| where current=0 AND isnotnull(historical) AND historical>1000 
| lookup gdpr_system_category host | search category=*"
7,,,"First we bring in our basic dataset, Symantec Endpoint Operational Logs.
Next we use a relatively complicated stats command to track the time of the last update, and the time of the last error.
Next we filter for the events where the time of the last update was more than three days ago, or where the last error was more recent than the last update.
Finally, we format the timestamps in a human readable way.",Outdated Malware Definitions - Live,Outdated Malware Definitions - Live,,,,,,count,1,Must have Symantec AV data,,"For simplicity, this search is written specifically for Symantec AV data, but it can be easily modified for other sources. ",| metasearch earliest=-24h latest=now index=* sourcetype=symantec:ep:* | head 100 | stats count ," index=* sourcetype=symantec:* 
|stats max(eval(if(like(Event_Description, ""%LiveUpdate session ran successfully%"") , _time, null))) as LatestUpdate max(_time) as LatestMessage max(eval(if(tag=""error"", _time, null))) as LatestError by Host_Name 
| where LatestUpdate < relative_time(LatestMessage, ""-3d"") OR LatestError > LatestUpdate 
| convert ctime(LatestUpdate) ctime(LatestMessage) ctime(LatestError)"
7,,,"First we pull in our demo dataset. We are filtering here to just process launches in the Users directory, so that we are focusing in on what unprivileged users can run (and not getting noise from things like software updates).
Next we use the Shannon Entropy algorithm provided by the free app URL Toolbox to calculate a very basic randomness score for this string.
Shannon Entropy gives a numeric score, you will usually want to filter on values above of 3.5 or 4.
Finally we use stats to put everything in a convenient table.
And of course we use rename to provide field names that will make sense to analysts.",Processes With High Entropy Names in Users Directory - Demo,Processes With High Entropy Names in Users Directory - Demo,,,,,,"STE_Win4688.csv
count","1
1","Must have Demo Lookup
Must have URL Toolbox Installed (provides Shannon entropy checking)",,"Verify that lookups installed with Splunk Security Essentials is present
The URL Toolbox app, written by Cedric Le Roux, not only provides effective URL Parsing but also Levenshtein similarity checking (e.g., typo detection) and Shannon entropy detection. Download <a href=""https://splunkbase.splunk.com/app/2734/"">here</a>.","| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah 
| rest /services/apps/local | search disabled=0 label=""URL Toolbox"" | stats count","| `Load_Sample_Log_Data(""Windows 4688 Data"")` | search New_Process_Name=*\Users\*
| lookup ut_shannon_lookup word as New_Process_Name 
| where ut_shannon > 4.5 
| stats  values(ut_shannon)  as ""Shannon Entropy Score"" by New_Process_Name,host 
| rename  New_Process_Name as Process,host as Endpoint "
